Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17.07.2021,149.226,144.344,145.84,141.5,144.672,167.866,170.224,172.92,182.016,188.754,196.966,198.652,197.39,200.696,195.036,189.25,194.71,194.594,188.074,187.726,156.056,143.542,138.688,138.352
18.07.2021,137.116,135.61,131.614,135.81,130.852,125.06,129.268,128.302,137.332,140.97,143.054,146.292,150.436,156.652,159.308,156.532,154.608,151.92,151.994,152.16,144.168,144.188,140.226,142.61
19.07.2021,141.326,142.03,137.314,157.332,165.34,153.616,149.056,156.574,168.724,184.674,184.372,194.766,192.406,198.252,196.138,198.896,201.042,199.488,193.096,188.544,178.508,168.504,147.104,144.248
20.07.2021,139.688,139.028,141.872,139.608,137.764,136.286,143.972,148.762,171.62,186.058,191.564,197.72,201.27,206.368,205.74,199.116,197.964,198.216,194.554,185.602,183.284,169.924,141.514,139.468
21.07.2021,140.464,139.328,144.032,139.548,141.318,134.902,151.008,155.344,172.898,193.144,189.536,194.61,189.812,192.46,194.636,193.814,188.544,183.834,185.032,182.888,171.352,158.384,143.694,138.032
22.07.2021,137.796,138.4,138.69,136.514,137.036,133.09,142.994,151.26,166.69,179.132,189.5,193.978,194.952,202.22,205.094,204.198,198.68,195.702,186.558,181.768,179.404,173.416,144.344,137.948
23.07.2021,137.694,134.668,138.382,139.576,134.504,135.084,145.534,156.08,178.44,186.46,191.11,197.744,192.954,197.56,197.724,190.994,182.504,181.424,179.326,173.302,164.622,158.12,142.298,140.002
24.07.2021,137.308,143.154,139.192,137.396,138.77,144.304,148.118,151.492,168.524,171.592,169.088,174.814,167.866,164.948,164.37,164.796,166.984,170.462,169.536,163.08,144.076,133.77,134.576,134.88
25.07.2021,132.466,133.244,128.362,128.426,132.646,126.644,126.56,129.354,138.898,135.586,139.54,138.934,138.394,142.144,143.252,143.354,144.476,145.674,141.01,148.026,144.412,141.036,138.46,134.322
26.07.2021,134.286,138.162,134.652,146.444,149.88,147.148,149.406,157.436,178.464,198.768,217.88,220.686,216.756,227.524,231.036,225.446,223.248,217.686,213.772,207.35,202.494,191.896,154.76,142.996
