datetime,pcc,load,cs,cp0,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,n_ev
2025-02-01 01:33:00,23.85953176316892,23.85953176316892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:34:00,23.87705275912884,23.87705275912884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:35:00,23.87592131982725,23.87592131982725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:36:00,23.8723069107858,23.8723069107858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:37:00,23.868692501744352,23.868692501744352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:38:00,23.865078092702912,23.865078092702912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:39:00,23.861463683661466,23.861463683661466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:40:00,23.857849274620015,23.857849274620015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:41:00,23.854234865578576,23.854234865578576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:42:00,23.85062045653713,23.85062045653713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:43:00,23.84700604749568,23.84700604749568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:44:00,23.843391638454232,23.843391638454232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:45:00,23.83977722941279,23.83977722941279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:46:00,23.836162820371346,23.836162820371346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:47:00,23.832548411329896,23.832548411329896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:48:00,23.82893400228845,23.82893400228845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:49:00,23.82531959324701,23.82531959324701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:50:00,23.821705184205566,23.821705184205566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:51:00,23.81809077516412,23.81809077516412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:52:00,23.81447636612267,23.81447636612267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:53:00,23.810861957081222,23.810861957081222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:54:00,23.807247548039783,23.807247548039783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:55:00,23.803633138998336,23.803633138998336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:56:00,23.800018729956886,23.800018729956886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:57:00,23.796404320915443,23.796404320915443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:58:00,23.792789911874,23.792789911874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 01:59:00,23.789175502832553,23.789175502832553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:00:00,23.785561093791102,23.785561093791102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:01:00,23.781946684749663,23.781946684749663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:02:00,23.778332275708216,23.778332275708216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:03:00,23.774717866666766,23.774717866666766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:04:00,23.77110345762532,23.77110345762532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:05:00,23.76748904858388,23.76748904858388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:06:00,23.763874639542433,23.763874639542433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:07:00,23.760260230500982,23.760260230500982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:08:00,23.756645821459536,23.756645821459536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:09:00,23.753031412418096,23.753031412418096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01 02:10:00,23.74941700337665,23.74941700337665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
